pseudo_subid,exp_subid,condition,movName,eventNo,separated,recall
11,8,Jumbled,Corn,64,FALSE,0
11,8,Jumbled,Corn,65,TRUE,0
11,8,Jumbled,Corn,66,FALSE,0
11,8,Jumbled,Corn,67,FALSE,0
11,8,Jumbled,Corn,68,FALSE,0
11,8,Jumbled,Corn,69,FALSE,0
12,16,Interrupted,Corn,1,FALSE,0
12,16,Interrupted,Corn,2,FALSE,1
12,16,Interrupted,Corn,3,FALSE,0
12,16,Interrupted,Corn,4,FALSE,1
12,16,Interrupted,Corn,5,FALSE,0
12,16,Interrupted,Corn,6,FALSE,0
12,16,Interrupted,Corn,7,TRUE,1
12,16,Interrupted,Corn,8,FALSE,1
12,16,Interrupted,Corn,9,FALSE,0
12,16,Interrupted,Corn,10,FALSE,1
12,16,Interrupted,Corn,11,FALSE,1
12,16,Interrupted,Corn,12,FALSE,1
12,16,Interrupted,Corn,13,FALSE,0
12,16,Interrupted,Corn,14,TRUE,1
12,16,Interrupted,Corn,15,FALSE,0
12,16,Interrupted,Corn,16,FALSE,0
12,16,Interrupted,Corn,17,FALSE,1
12,16,Interrupted,Corn,18,FALSE,0
12,16,Interrupted,Corn,19,FALSE,0
12,16,Interrupted,Corn,20,FALSE,0
12,16,Interrupted,Corn,21,TRUE,0
12,16,Interrupted,Corn,22,FALSE,1
12,16,Interrupted,Corn,23,FALSE,0
12,16,Interrupted,Corn,24,FALSE,0
12,16,Interrupted,Corn,25,FALSE,0
12,16,Interrupted,Corn,26,FALSE,1
12,16,Interrupted,Corn,27,FALSE,0
12,16,Interrupted,Corn,28,FALSE,1
12,16,Interrupted,Corn,29,FALSE,1
12,16,Interrupted,Corn,30,TRUE,1
12,16,Interrupted,Corn,31,FALSE,1
12,16,Interrupted,Corn,32,FALSE,1
12,16,Interrupted,Corn,33,FALSE,1
12,16,Interrupted,Corn,34,FALSE,1
12,16,Interrupted,Corn,35,FALSE,0
12,16,Interrupted,Corn,36,FALSE,0
12,16,Interrupted,Corn,37,TRUE,0
12,16,Interrupted,Corn,38,FALSE,0
12,16,Interrupted,Corn,39,FALSE,0
12,16,Interrupted,Corn,40,FALSE,0
12,16,Interrupted,Corn,41,FALSE,0
12,16,Interrupted,Corn,42,FALSE,1
12,16,Interrupted,Corn,43,FALSE,1
12,16,Interrupted,Corn,44,FALSE,1
12,16,Interrupted,Corn,45,TRUE,1
12,16,Interrupted,Corn,46,FALSE,1
12,16,Interrupted,Corn,47,FALSE,1
12,16,Interrupted,Corn,48,FALSE,1
12,16,Interrupted,Corn,49,FALSE,0
12,16,Interrupted,Corn,50,FALSE,0
12,16,Interrupted,Corn,51,FALSE,0
12,16,Interrupted,Corn,52,TRUE,0
12,16,Interrupted,Corn,53,FALSE,0
12,16,Interrupted,Corn,54,FALSE,1
12,16,Interrupted,Corn,55,FALSE,0
12,16,Interrupted,Corn,56,FALSE,0
12,16,Interrupted,Corn,57,FALSE,0
12,16,Interrupted,Corn,58,FALSE,1
12,16,Interrupted,Corn,59,TRUE,1
12,16,Interrupted,Corn,60,FALSE,1
12,16,Interrupted,Corn,61,FALSE,1
12,16,Interrupted,Corn,62,FALSE,0
12,16,Interrupted,Corn,63,FALSE,0
12,16,Interrupted,Corn,64,FALSE,1
12,16,Interrupted,Corn,65,TRUE,0
12,16,Interrupted,Corn,66,FALSE,1
12,16,Interrupted,Corn,67,FALSE,0
12,16,Interrupted,Corn,68,FALSE,1
12,16,Interrupted,Corn,69,FALSE,0
13,3,Jumbled,Corn,1,FALSE,0
13,3,Jumbled,Corn,2,FALSE,1
13,3,Jumbled,Corn,3,FALSE,1
13,3,Jumbled,Corn,4,FALSE,1
13,3,Jumbled,Corn,5,FALSE,1
13,3,Jumbled,Corn,6,FALSE,0
13,3,Jumbled,Corn,7,TRUE,1
13,3,Jumbled,Corn,8,FALSE,0
13,3,Jumbled,Corn,9,FALSE,0
13,3,Jumbled,Corn,10,FALSE,0
13,3,Jumbled,Corn,11,FALSE,1
13,3,Jumbled,Corn,12,FALSE,1
13,3,Jumbled,Corn,13,FALSE,0
13,3,Jumbled,Corn,14,TRUE,1
13,3,Jumbled,Corn,15,FALSE,0
13,3,Jumbled,Corn,16,FALSE,0
13,3,Jumbled,Corn,17,FALSE,1
13,3,Jumbled,Corn,18,FALSE,0
13,3,Jumbled,Corn,19,FALSE,0
13,3,Jumbled,Corn,20,FALSE,0
13,3,Jumbled,Corn,21,TRUE,0
13,3,Jumbled,Corn,22,FALSE,1
13,3,Jumbled,Corn,23,FALSE,0
13,3,Jumbled,Corn,24,FALSE,0
13,3,Jumbled,Corn,25,FALSE,1
13,3,Jumbled,Corn,26,FALSE,1
13,3,Jumbled,Corn,27,FALSE,1
13,3,Jumbled,Corn,28,FALSE,1
13,3,Jumbled,Corn,29,FALSE,0
13,3,Jumbled,Corn,30,TRUE,0
13,3,Jumbled,Corn,31,FALSE,0
13,3,Jumbled,Corn,32,FALSE,1
13,3,Jumbled,Corn,33,FALSE,1
13,3,Jumbled,Corn,34,FALSE,1
13,3,Jumbled,Corn,35,FALSE,0
13,3,Jumbled,Corn,36,FALSE,1
13,3,Jumbled,Corn,37,TRUE,0
13,3,Jumbled,Corn,38,FALSE,0
13,3,Jumbled,Corn,39,FALSE,0
13,3,Jumbled,Corn,40,FALSE,1
13,3,Jumbled,Corn,41,FALSE,0
13,3,Jumbled,Corn,42,FALSE,1
13,3,Jumbled,Corn,43,FALSE,0
13,3,Jumbled,Corn,44,FALSE,1
13,3,Jumbled,Corn,45,TRUE,1
13,3,Jumbled,Corn,46,FALSE,1
13,3,Jumbled,Corn,47,FALSE,0
13,3,Jumbled,Corn,48,FALSE,1
13,3,Jumbled,Corn,49,FALSE,0
13,3,Jumbled,Corn,50,FALSE,0
13,3,Jumbled,Corn,51,FALSE,0
13,3,Jumbled,Corn,52,TRUE,1
13,3,Jumbled,Corn,53,FALSE,0
13,3,Jumbled,Corn,54,FALSE,0
13,3,Jumbled,Corn,55,FALSE,0
13,3,Jumbled,Corn,56,FALSE,0
13,3,Jumbled,Corn,57,FALSE,0
13,3,Jumbled,Corn,58,FALSE,1
13,3,Jumbled,Corn,59,TRUE,1
13,3,Jumbled,Corn,60,FALSE,1
13,3,Jumbled,Corn,61,FALSE,1
13,3,Jumbled,Corn,62,FALSE,0
13,3,Jumbled,Corn,63,FALSE,0
13,3,Jumbled,Corn,64,FALSE,1
13,3,Jumbled,Corn,65,TRUE,1
13,3,Jumbled,Corn,66,FALSE,1
13,3,Jumbled,Corn,67,FALSE,0
13,3,Jumbled,Corn,68,FALSE,1
13,3,Jumbled,Corn,69,FALSE,0
14,23,Jumbled,Corn,1,FALSE,0
14,23,Jumbled,Corn,2,FALSE,1
14,23,Jumbled,Corn,3,FALSE,0
14,23,Jumbled,Corn,4,FALSE,0
14,23,Jumbled,Corn,5,FALSE,0
14,23,Jumbled,Corn,6,FALSE,0
14,23,Jumbled,Corn,7,TRUE,0
14,23,Jumbled,Corn,8,FALSE,0
14,23,Jumbled,Corn,9,FALSE,0
14,23,Jumbled,Corn,10,FALSE,0
14,23,Jumbled,Corn,11,FALSE,0
14,23,Jumbled,Corn,12,FALSE,0
14,23,Jumbled,Corn,13,FALSE,0
14,23,Jumbled,Corn,14,TRUE,0
14,23,Jumbled,Corn,15,FALSE,0
14,23,Jumbled,Corn,16,FALSE,0
14,23,Jumbled,Corn,17,FALSE,1
14,23,Jumbled,Corn,18,FALSE,0
14,23,Jumbled,Corn,19,FALSE,0
14,23,Jumbled,Corn,20,FALSE,0
14,23,Jumbled,Corn,21,TRUE,0
14,23,Jumbled,Corn,22,FALSE,0
14,23,Jumbled,Corn,23,FALSE,0
14,23,Jumbled,Corn,24,FALSE,0
14,23,Jumbled,Corn,25,FALSE,0
14,23,Jumbled,Corn,26,FALSE,1
14,23,Jumbled,Corn,27,FALSE,0
14,23,Jumbled,Corn,28,FALSE,0
14,23,Jumbled,Corn,29,FALSE,0
14,23,Jumbled,Corn,30,TRUE,0
14,23,Jumbled,Corn,31,FALSE,1
14,23,Jumbled,Corn,32,FALSE,0
14,23,Jumbled,Corn,33,FALSE,0
14,23,Jumbled,Corn,34,FALSE,0
14,23,Jumbled,Corn,35,FALSE,0
14,23,Jumbled,Corn,36,FALSE,0
14,23,Jumbled,Corn,37,TRUE,0
14,23,Jumbled,Corn,38,FALSE,0
14,23,Jumbled,Corn,39,FALSE,0
14,23,Jumbled,Corn,40,FALSE,0
14,23,Jumbled,Corn,41,FALSE,0
14,23,Jumbled,Corn,42,FALSE,0
14,23,Jumbled,Corn,43,FALSE,0
14,23,Jumbled,Corn,44,FALSE,0
14,23,Jumbled,Corn,45,TRUE,0
14,23,Jumbled,Corn,46,FALSE,0
14,23,Jumbled,Corn,47,FALSE,0
14,23,Jumbled,Corn,48,FALSE,0
14,23,Jumbled,Corn,49,FALSE,0
14,23,Jumbled,Corn,50,FALSE,0
14,23,Jumbled,Corn,51,FALSE,0
14,23,Jumbled,Corn,52,TRUE,0
14,23,Jumbled,Corn,53,FALSE,0
14,23,Jumbled,Corn,54,FALSE,0
14,23,Jumbled,Corn,55,FALSE,0
14,23,Jumbled,Corn,56,FALSE,0
14,23,Jumbled,Corn,57,FALSE,0
14,23,Jumbled,Corn,58,FALSE,0
14,23,Jumbled,Corn,59,TRUE,0
14,23,Jumbled,Corn,60,FALSE,0
14,23,Jumbled,Corn,61,FALSE,0
14,23,Jumbled,Corn,62,FALSE,0
14,23,Jumbled,Corn,63,FALSE,0
14,23,Jumbled,Corn,64,FALSE,0
14,23,Jumbled,Corn,65,TRUE,1
14,23,Jumbled,Corn,66,FALSE,1
14,23,Jumbled,Corn,67,FALSE,0
14,23,Jumbled,Corn,68,FALSE,0
14,23,Jumbled,Corn,69,FALSE,0
15,29,Jumbled,Corn,1,FALSE,1
15,29,Jumbled,Corn,2,FALSE,0
15,29,Jumbled,Corn,3,FALSE,0
15,29,Jumbled,Corn,4,FALSE,0
15,29,Jumbled,Corn,5,FALSE,1
15,29,Jumbled,Corn,6,FALSE,0
15,29,Jumbled,Corn,7,TRUE,0
15,29,Jumbled,Corn,8,FALSE,0
15,29,Jumbled,Corn,9,FALSE,0
15,29,Jumbled,Corn,10,FALSE,0
15,29,Jumbled,Corn,11,FALSE,0
15,29,Jumbled,Corn,12,FALSE,0
15,29,Jumbled,Corn,13,FALSE,0
15,29,Jumbled,Corn,14,TRUE,0
15,29,Jumbled,Corn,15,FALSE,0
15,29,Jumbled,Corn,16,FALSE,0
15,29,Jumbled,Corn,17,FALSE,1
15,29,Jumbled,Corn,18,FALSE,0
15,29,Jumbled,Corn,19,FALSE,0
15,29,Jumbled,Corn,20,FALSE,0
15,29,Jumbled,Corn,21,TRUE,0
15,29,Jumbled,Corn,22,FALSE,0
15,29,Jumbled,Corn,23,FALSE,0
15,29,Jumbled,Corn,24,FALSE,0
15,29,Jumbled,Corn,25,FALSE,0
15,29,Jumbled,Corn,26,FALSE,1
15,29,Jumbled,Corn,27,FALSE,0
15,29,Jumbled,Corn,28,FALSE,0
15,29,Jumbled,Corn,29,FALSE,0
15,29,Jumbled,Corn,30,TRUE,0
15,29,Jumbled,Corn,31,FALSE,0
15,29,Jumbled,Corn,32,FALSE,0
15,29,Jumbled,Corn,33,FALSE,0
15,29,Jumbled,Corn,34,FALSE,1
15,29,Jumbled,Corn,35,FALSE,0
15,29,Jumbled,Corn,36,FALSE,0
15,29,Jumbled,Corn,37,TRUE,0
15,29,Jumbled,Corn,38,FALSE,0
15,29,Jumbled,Corn,39,FALSE,0
15,29,Jumbled,Corn,40,FALSE,0
15,29,Jumbled,Corn,41,FALSE,0
15,29,Jumbled,Corn,42,FALSE,1
15,29,Jumbled,Corn,43,FALSE,0
15,29,Jumbled,Corn,44,FALSE,0
15,29,Jumbled,Corn,45,TRUE,0
15,29,Jumbled,Corn,46,FALSE,1
15,29,Jumbled,Corn,47,FALSE,0
15,29,Jumbled,Corn,48,FALSE,0
15,29,Jumbled,Corn,49,FALSE,0
15,29,Jumbled,Corn,50,FALSE,0
15,29,Jumbled,Corn,51,FALSE,0
15,29,Jumbled,Corn,52,TRUE,0
15,29,Jumbled,Corn,53,FALSE,0
15,29,Jumbled,Corn,54,FALSE,0
